filename,isotope,energy,counts,unc_counts,intensity,unc_intensity,efficiency,unc_efficiency,decays,unc_decays,decay_rate,unc_decay_rate,chi2,start_time,live_time,real_time
eu_calib_7cm.Spe,152EU,678.623,1775.7539932375378,76.5829840763492,0.00473,4e-05,0.008046431990526086,0.00012505951507874196,50020390.74863461,2616481.14901117,20383.20731403203,1066.210737168366,1.3023425810277829,09/13/2018 08:39:08,2289.0,2454.0
eu_calib_7cm.Spe,152EU,688.67,3486.2255456960816,79.07593832406076,0.00856,6e-05,0.007938524147015536,0.00012207406760488917,55001015.972520836,1813307.9166880667,22412.801944792518,738.9192814539799,0.9940184035082085,09/13/2018 08:39:08,2289.0,2454.0
eu_calib_7cm.Spe,152EU,719.346,1283.0718324382544,110.40915554262746,0.0025,8e-05,0.0076269263579388565,0.00011340715526441253,72142331.68869576,7005309.83706329,29397.85317387765,2854.649485355864,3.022282509296966,09/13/2018 08:39:08,2289.0,2454.0
eu_calib_7cm.Spe,152EU,764.88,721.8453379821915,80.62302876031576,0.00189,4e-05,0.007208770250610437,0.00010189084567237108,56800208.91249075,6841472.904224347,23145.96940199297,2787.8862690400765,1.766268757567045,09/13/2018 08:39:08,2289.0,2454.0
eu_calib_7cm.Spe,152EU,778.9045,46800.27156428442,291.833184780344,0.1293,0.0008,0.007089348529099737,9.86898510843162e-05,54735902.866077185,935844.6054254696,22304.768894081983,381.3547699370292,1.8486107648097987,09/13/2018 08:39:08,2289.0,2454.0
eu_calib_7cm.Spe,152EU,810.451,1196.6129293471101,67.12851433764858,0.00317,3e-05,0.006834969138230072,9.211397219061309e-05,59208851.45217527,3861739.1852608602,24127.486329329775,1573.6508497395519,1.1765547577791058,09/13/2018 08:39:08,2289.0,2454.0
eu_calib_7cm.Spe,152EU,841.574,532.1028456338066,61.40835669956066,0.00168,3e-05,0.006601537700398661,8.649648384328677e-05,51436328.07060083,6442623.018910034,20960.1988877754,2625.3557534270717,1.0076934329659752,09/13/2018 08:39:08,2289.0,2454.0
eu_calib_7cm.Spe,152EU,867.38,13242.238748790132,146.85447789732643,0.042300000000000004,0.0003,0.006419836435663183,8.250551278601462e-05,52278828.70212095,1063671.8913790912,21303.516178533395,433.44412851633706,1.386758672254592,09/13/2018 08:39:08,2289.0,2454.0
eu_calib_7cm.Spe,152EU,919.337,1356.8267080571047,76.98433923334561,0.00419,5e-05,0.0060815217106487685,7.627927975050119e-05,57085638.7661255,3724152.528766588,23262.281485788713,1517.5845675495468,1.705339468042628,09/13/2018 08:39:08,2289.0,2454.0
eu_calib_7cm.Spe,152EU,926.31,783.1823367394018,67.9685991575619,0.00272,3e-05,0.006038186816523231,7.561841892467341e-05,51122984.58937744,4873333.816089587,20832.51205761102,1985.8736006885033,1.705339468042628,09/13/2018 08:39:08,2289.0,2454.0
eu_calib_7cm.Spe,152EU,964.057,42612.050131370306,378.17194389544653,0.1451,0.0007000000000000001,0.005810896432622482,7.274364847556024e-05,54181453.00093132,910208.2018079316,22078.831703720996,370.90798769679367,3.4756931596379146,09/13/2018 08:39:08,2289.0,2454.0
eu_calib_7cm.Spe,152EU,1005.27,2714.859693558096,93.23851558925169,0.00659,0.00010999999999999999,0.0055763101927167455,7.09152470877974e-05,79203398.4567642,3531607.6659623575,32275.22349501394,1439.1229282650195,1.9878812453408559,09/13/2018 08:39:08,2289.0,2454.0
eu_calib_7cm.Spe,152EU,1085.837,28196.46311496083,245.3638167324935,0.1011,0.0005,0.0051676101408829524,7.074068442260925e-05,57860542.77851162,1039951.3430404972,23578.053291977027,423.7780533987356,2.1604027978262943,09/13/2018 08:39:08,2289.0,2454.0
eu_calib_7cm.Spe,152EU,1089.737,4557.544332821516,113.68242869805135,0.01734,0.00010999999999999999,0.005149598150124575,7.082317310281241e-05,54718884.38389354,1790738.3279683103,22297.833897267134,729.7222200359863,2.1604027978262943,09/13/2018 08:39:08,2289.0,2454.0
eu_calib_7cm.Spe,152EU,1109.18,1872.9773855045394,639.3055123779835,0.00189,6e-05,0.005061965866455639,7.133384546198963e-05,209884459.33637935,72173176.62339173,85527.48954212687,29410.422421920022,1.0188972236243803,09/13/2018 08:39:08,2289.0,2454.0
eu_calib_7cm.Spe,152EU,1112.076,33997.232289144704,651.9959407902188,0.13670000000000002,0.0008,0.005049212948454568,7.142339222459294e-05,52805617.61429405,1327038.751765086,21518.181586916893,540.765587516335,1.0188972236243803,09/13/2018 08:39:08,2289.0,2454.0
eu_calib_7cm.Spe,152EU,1212.948,3335.328113118657,76.02476842561134,0.014150000000000001,8e-05,0.004642354145114704,7.650106622019464e-05,54434297.45081641,1824074.7690288015,22181.86530188118,743.3067518454774,1.338437937018872,09/13/2018 08:39:08,2289.0,2454.0
eu_calib_7cm.Spe,152EU,1249.94,551.4468331389091,40.8465334371252,0.0018700000000000001,3e-05,0.004508102243722929,7.949403590951888e-05,70128903.55566645,6220684.176559092,28577.38531200752,2534.916127367193,1.1463245270840858,09/13/2018 08:39:08,2289.0,2454.0
eu_calib_7cm.Spe,152EU,1299.142,3667.1436890491495,94.43465401414518,0.01633,0.00010999999999999999,0.0043403220886787846,8.515823880364041e-05,55468771.7188026,2050217.306487321,22603.411458354767,835.4593750967078,2.282852366320934,09/13/2018 08:39:08,2289.0,2454.0
eu_calib_7cm.Spe,152EU,1408.013,43377.65712315214,564.601554244138,0.20870000000000002,0.0009,0.00400764960267743,0.00011280123891089074,55601007.99241978,1761147.9787475907,22657.29747042371,717.6642130185782,7.978172309233179,09/13/2018 08:39:08,2289.0,2454.0
eu_calib_7cm.Spe,152EU,1457.643,2282.7369066263127,325.05384298189927,0.0049700000000000005,4e-05,0.003871988214680006,0.00013801214821886285,127172793.34352733,18884238.000942156,51822.654174216514,7695.288508941384,29.236291282463235,09/13/2018 08:39:08,2289.0,2454.0
eu_calib_7cm.Spe,152EU,1528.1,1345.809369748803,58.889650934698984,0.0027900000000000004,3e-05,0.00369443697596905,0.00019457860027533694,139978020.54941195,10425619.241845911,57040.75817009452,4248.418598959214,1.9123067110459735,09/13/2018 08:39:08,2289.0,2454.0
