name,energy,flux
Ti02,44.45,0.0006666666666666666
Ti02,44.55,0.00046666666666666666
Ti02,44.650000000000006,0.0010333333333333334
Ti02,44.75,0.0022333333333333333
Ti02,44.85000000000001,0.003
Ti02,44.95,0.004933333333333333
Ti02,45.05,0.006533333333333334
Ti02,45.150000000000006,0.008666666666666666
Ti02,45.25,0.013933333333333334
Ti02,45.35000000000001,0.017833333333333333
Ti02,45.45,0.0237
Ti02,45.55,0.0305
Ti02,45.650000000000006,0.0361
Ti02,45.75,0.046733333333333335
Ti02,45.85000000000001,0.05293333333333333
Ti02,45.95,0.06023333333333333
Ti02,46.05,0.06623333333333334
Ti02,46.150000000000006,0.0713
Ti02,46.25,0.07013333333333334
Ti02,46.35000000000001,0.0715
Ti02,46.45,0.06823333333333333
Ti02,46.55,0.06346666666666667
